2026-04-06 10:52:34 UTC | signal       | DEBUG    |   AUDUSD   H1   Support      zone=0.70150 S=7.91 T=0.490 [prox=0.00 trend=1.00 rsi=50(0.65) adx=0.47 vol=0.72 f=0.00]
2026-04-06 10:52:34 UTC | signal       | DEBUG    |   EURGBP   H1   Resistance   zone=0.86500 S=7.89 T=0.463 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.67 vol=0.74 f=0.00]
2026-04-06 10:52:34 UTC | signal       | DEBUG    |   EURUSD   H4   Support      zone=1.15000 S=7.91 T=0.474 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.94 vol=0.79 f=0.00]
2026-04-06 10:52:34 UTC | signal       | DEBUG    |   GBPUSD   H1   Resistance   zone=1.34050 S=7.88 T=0.444 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.80 vol=0.68 f=0.00]
2026-04-06 10:52:34 UTC | signal       | DEBUG    |   USDCHF   H1   Support      zone=0.79100 S=7.93 T=0.488 [prox=0.00 trend=0.70 rsi=50(0.65) adx=1.00 vol=0.83 f=0.00]
2026-04-06 10:52:34 UTC | signal       | INFO     | SignalEngine: нет новых сигналов в этом цикле
2026-04-06 10:55:57 UTC | signal       | INFO     | SignalEngine SCAN: поток завершён
2026-04-06 10:55:57 UTC | signal       | INFO     | SignalEngine M5 Monitor: поток завершён
2026-04-06 10:55:57 UTC | signal       | INFO     | SignalEngine остановлен
2026-04-06 10:55:57 UTC | signal       | INFO     | Scalping модуль остановлен
2026-04-06 12:11:39 UTC | signal       | INFO     | SignalEngine SCAN: поток запущен
2026-04-06 12:11:39 UTC | signal       | INFO     | SignalEngine M5 Monitor: поток запущен
2026-04-06 12:11:39 UTC | signal       | INFO     | SignalEngine запущен (SCAN: 300с, M5: 30с, min_S=7.5, min_T=0.7)
2026-04-06 12:11:39 UTC | signal       | INFO     | SignalEngine: запуск цикла...
2026-04-06 12:11:39 UTC | signal       | INFO     | Scalping модуль запущен (Signal + Trader + Evaluator)
2026-04-06 12:11:39 UTC | signal       | DEBUG    |   AUDUSD   H1   Support      zone=0.70150 S=7.91 T=0.481 [prox=0.00 trend=1.00 rsi=50(0.65) adx=0.57 vol=0.47 f=0.00]
2026-04-06 12:11:39 UTC | signal       | DEBUG    |   EURGBP   H1   Resistance   zone=0.86500 S=7.89 T=0.410 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.49 vol=0.49 f=0.00]
2026-04-06 12:11:39 UTC | signal       | DEBUG    |   EURUSD   H4   Support      zone=1.15400 S=7.84 T=0.550 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.97 vol=0.49 f=0.99]
2026-04-06 12:11:39 UTC | signal       | DEBUG    |   GBPUSD   H1   Support      zone=1.34700 S=7.84 T=0.477 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.96 vol=0.46 f=0.00]
2026-04-06 12:11:39 UTC | signal       | DEBUG    |   USDCHF   H1   Support      zone=0.79100 S=7.93 T=0.482 [prox=0.00 trend=0.70 rsi=50(0.65) adx=1.00 vol=0.45 f=0.00]
2026-04-06 12:11:39 UTC | signal       | INFO     | SignalEngine: нет новых сигналов в этом цикле
